text,sentiment
ASN doang? Malah pada hiling pake mobil dinas,2
"biasa jumat masuk jg olahraga pagi - sarapan - nyebat - lunch - tiktokan - pulang jam 3, skrg pake wfh, menyala ASN ku 🔥",0
"Gw berangkat kerja,dia lg jogging, gw pulang kerja eh dia lg santai sore sebat, liku2 bumc vs ASN 😢",0
Tiap minggu long weekend Tiap minggu liburan Tiap minggu staycation Mantab memang kebijakan pemerintah👏,0
Tiba2 si asn punya long weekend entah sampe kapan. Congrats deh. Makin buta aja gajinya 🙏🏻,0
"gaji buta? Punya bukti apa kamu kalo ASN makan gaji buta, saya bukan ASN, tp saya kerja di lingkungan DKI, dan saya saksi bahwa mereka bener"" kerja sama seperti kalian, tolong dijaga bicaranya yaa kakak cantik 🙏",0
malah liburan aji mumpung. Haduhhhhh,0
"Jadi 3 hari libur,gaji utuh",1
Dih nyaman bener 😂,1
knp jumat sih pak? yang ngegaji aja kerja tiap hari tanpa libur,1
WFH ❌ Liburan ✅,1
Umbi umbian ga dikasih wfh?,0
"Asiiik long week end, bukannya pd wfh eh pd jln² ke tmpt wisata, sama aja bo'ong niat mau hemat malah boncos negara, hadeuh knp sih negara klo bikin kebijakan suka bikin kisruh",0
"Salah headline om, hrsnya ""pemerintah tetapkan long weekend bagi seluruh ASN""",0
"Kerja becanda, Gaji Serius 😋",0
Selamat anda lahir di negara yang setiap hari beritanya nyakitin mulu,0
"Serah lo ajaa lah, pajak gw dipotong buat lo jalan2 😂",0
KEK PADA KERJA BENER AJA ASUUUUU...,1
Masuk ke kantor ajee belum tentu kerja. Palagi wfh gustiiii,0
Dih kek senin-kamis kerja aja😮,1
"Lebih baik swasta yg wfh seminggu sekali. Biar asn nya full mengabdi, apalagi in this situation ya.. trus kalau ga mau dirujak hari wfh nya kan bs di selasa (puncak macet) atau di kamis.. 🤣",0
"Itu bukan WFH TAPI LIBUR WKWKWK KOCAK,Udha Dateng seenaknya pulang semaunya. KERJA JUGA KAGA PAKE ACARA WFH. BUNCIT TUH PERUT ASN PADA 😂😂",2
"Itu buat nutupin yg absen kaga, ke kantor kaga tapi tetep gajian. Banyak kan itu prakteknya bahkan puluhan taun 🤣",0
"Tadinya mau buat hemat BBM, kalau wfh hari Jumat artinya jadi long weekend = jalan jalan jauh .... makin boncos pemakaian BBM-nya dah 😂😂😂 selamat hahahaha👏👏👏",0
EMANG KERJA??,1
g berlaku ini untuk yang jasa & pelayanan laboratorium🤣,0
Ga WFH aja ngayap mulu 🤣🙏,0
"Baru mau WFH jumat,emang libur kan jumat besok..berasa kena prank 🤣",1
"deh kemarin katanya Rabu menghindari long weekend, skrg jd Jumat. Gajetot",1
"Jam kerja dari senin-kamis ditambah lah woy! mau main gila. WFO aja banyakan gak kerja nya, apalagi WFH, cih!",0
Ga ada manfaatnya juga sih.,1
Katanya supaya hemat bbm...tp ko malah...aah sudahlah,0
Seharusnya bikin judulnya yang detail atuh jangan ASN ajah. ASN nakes macem kitaaa mana ada wfh wfa kerja terusssss dalam luar gedung @fannyjhntkaa kunjungan laporan inputan 🔥,0
Yg ada malah jalan2 mereka 🤦‍♂️,2
"Malah nyempitin jalan, dikasih libur panjang",1
"Gak ngaruh ke aku 😢😢😂, aku dokter tetep harus jalan",0
"ga iri cuman, gaji pns masyarakat yg bayar. wajar pada protes, lagian jg ga ada wfh kerja pada nyantai ky ga ada kerjaan. yg disuruh kerja kan honorer🥱",0
Ngerepotinnnn !,2
Antara dongo beneran / akal akalan setan 😂,0
Enak benerrrrrr gaji serius kerja becandaa wkwkwkw happy long weekeeennndddd,0
di kantor aja ga beres apalagi di rmh 🤣🤣🤣,2
"yaelah ini mah makin boros bbm dan pengeluaran, jatuhnya malah long weekend, kerja sambil travelling😂",0
Yah siap-siap dihujat deh ini mah disangka long weekend😭,0
"Hey masyarakat konoha,..",2
Swasta jg mau dong,0
"Positifnya kalo jumat liburnya tempat wisata jd ramai dan bisa bangkitkan ekonomi umkm, negatifnya yg awalnya tujuannya buat hemat bbm malah jd boros bbm 😂",0
"Libur panjang itu mah namanya, ujung ujungnya piknik ngabisin BBM juga. Kenapa gak selasa atau rabu aja",0
ASN si anak emas diperhatiin terus 😍,0
Alhamdulillah bisa jumatan bareng anak😍,1
"Enak, kerja leha² doang pdhl",0
lah makin gak bener kerjanya,1
Long weekend terus hahaha,2
Beban negara hidupnya dienakin terus😂,0
enakk banget makin tambah ga kerja donggg😂😂😂😂,1
Yang sabtu masuk gimana? 😭,0
Yuhuu long weekend biar bisa ngayap 😅 bukan nye efesiensi malah boros bahan bakar,0
Kata gue mahhh bakalan pada jalan” itu wkwkwk,1
Lagi lagi nakes ga diajak 😢,0
usul bgmana kalau ASN nya WFH nya Senin dan Jumat aja ... bs lebih hemat banyak lagi kan ... 🤣🤣🤣 setuju ga ?? aku sih OK,0
"Gak usah WFH, gak akan kerja dirumah jg. Mending libur sekalian, tp jam kerja senin sampai kamis ditambah 2 jam.",2
"Alhamdulillah mendadak rejeki motel, hotel , maskapai..Happy long weekend ceunah 😂",1
lah enak long weekend jdnya,0
pak kasi garis bawah dong ASN STRUKTURAL!! karna kalo guru ga akan mungkin wfh wkwkw,0
senen jg skalian pak lumayan bs ke prgi jauhan ke malaysia,0
Ni ASN yg bisa WFH kalo nakes mana bisa,0
Wow. Amazing,2
"Tolong dong ini gaji para sarjana diperhatikan dan dibedakan , kuliah itu ga mudah . Ya waktunya , ya berfikirnya dan juga biaya",1
Bingung sama pola pikir si antek antek asing 😌,0
"Wee gkjls apa² pda naik, bensin aja belum naik bahan pokok dinaikin sendiri yg bnr apa Mentri udh buta kah mata nya sma tutup kuping",0
"Bilang aje Mau Long weekend... MANA JANJI Si CUNGKRING KATANYA A-E5-N pada Dines di I-K4-3N... cuma BOTAKIN HUTAN DOANG, NGERUSAK EKOSISTEM ALAMI KALIMANTAN,,,,",0
Sakit jiwa🙏,0
long weekend tiap minggu,2
Yuhuuu long weekends forever,2
Yuhuuu long weekends forever,2
MENYALAAAA OTAKNYAAA,2
"Kalau kerjanya bener GK masalah,TPI kalau ketahuan kerja GK bnr,sikat lngsung",0
Kenapa GK antara Selasa/kamis,2
tau kaya gini dari kecil cita cita jadi Pemerintah aja deh,0
Sekalian aja jumat sama senin,1
Harusnya hari rabu aja biar ga ada alesan long weekend,0
muke gilaa,2
Itu long weekend ga sihh 🫩 tiba2 jadi macet jalanan dikasih wfh,0
Berarti pelayanan di rumah masing²?,1
Yakin tuh kerjaaaaa?????,1
ini mah emng akal akalan,2
"Long weekend.... Yuhhhuuuuuu... 👏👏👏👏, gw kerja bayar pajak, ngegaji itu org... Kerja 6 hari seminggu... Yg pada yg nerima hasil pajak cm 4 hari seminggu masuk kerja... Mantuullll..ga ikhlas sihhh dunia akhirat👏👏👏👏",0
MENUJU INDONESIA LIBUR,0
DIMANJA BANGET ASN YE,0
Makin sepi ojol,0
Makin susah lah kita ngurus apa2.. kbanyakan santai ASN ini .,0
"Boleh ga asn di tiadakan pensiunan...🙏mubazir ja,mending wat keperluan yg lain di negri ini🙏",0
Kl kek gitu msh di gaji gak?,0
"jumat dirumah (bs nyambi2😝), trs sabtu minggu liburr.. 😀",1
Enak dong ya long weekend,2
Jam kerjax tambahin,2
Jumat WFH nya di puncak,0
Silahkan 🤣🤣🤣🤣,1
Tetap semangat wahai para budak corporate 🔥🙌👏beda kelas sama ASN mahh kita pada.,1
Peraturan macam apa ini bah.,0
Wfh jadi long weekend nih mah,2
Makinnn enakkkk bgd diaaa cuihhhh,1
Wfh wfh malah piknik😂,2
Makin malassss,1
"Kurang tepat sih, Yang ada bukan WFH untuk efisiensi, malah di pake buat jalan2 long weekend di balut dengan WFH",0
dikasih long wekeend otw liburan sana sini🫵🏻,1
KAPAN GURU DIUNTUNGKAN???,1
Coba bagian logistik & tranportasi mana bisa wkwk,0
Kenapa gak hari Senin aja?,2
"kenapa enggak dari hari rabu ajaaaa, ijiiinnn🙏",2
Long weekend jadinya 😂,0
wfh hari jumat sama aja nambah hari liburnya..bisa buat jalan2 yg justru nambah pengeluaran bbm..kebijakan aneh🤣,0
"Dan masih mudah pinjem uang di Bank.. ini ada tetangga ku seorang buruh.. kerja setiap hari, krna klo libur dipotong uang gaji n uang makan.. terus ada kepentingan mau pinjem uang di Bank Rakyat.. duuhhh susahnya ampun2an... ga punya agunan.. cuma punya slip gaji doank.... gimana tuh? Dan ASN punya sertifikat kepegawaian nya.. tinggal pake itu... ngehe kan",0
"Aseekkkk, parteeee dolo kitaaa🤣🤣",2
"Tiap hari kerjanya dr jam 10-14. Itupun klo ada masyarakat yg dtg buat urus berkas. Tapi Lebih kasian sm sesama ASN tp di puskesmas/sekola. Liat yg lainnya wfh. Mereka masuk sendiri. Eh, tapi kan bisa di ganti ke honorer ya krjaannya",0
"Se indonesia isinya cuma ASN, bgitu ASN wfh berarti indonesia sudah memberlakukan WFH ..",0
geloooooo jumat sabtu minggu tuh libur 🤣,1
jangan sampe WFH tapi pake fake timestamp terus jadi long weekend liburan ke puncak ya 😮,0
Fungsinya apa?,0
"Jadi long weekend, sa aeee bahlullll 🤣 Senin-Kamis juga kaga keliatan kerja lu pade 🤭",1
makin magabut ajadah mereka,1
enak bgt tbtb jumat sabtu minggu,0
"Kerja lu yg di meja aje pada gk bener , ini segala wfh makin gk bener.",1
Pemerintah ini emang ada otak buat mikir?,0
yang ada malah pada pulang kampung😂,2
"Bukannya kerja malah jalan², itungannya long weekend 🤣🤣🤣",0
Pelayanan publik hari jumat auto tutup 🤣,0
Waidaw makin menyalah langsung longweekend 😂,1
"Klo udh 4 hari, pas kerja jgn maen game, trus sat set ya, jgn kebanyakan mondar2ir pegang kertas doang🙏",1
kenapa hari jumat . hari jumat mah waktunya berasa pendek . hari senin tuh atau g selasa waktu berasa lama 😂,0
Bakalan banyak orng yang jalanw ke luar kota si ini mah ...,0
Yang bikin aturan otaknya di titipin dimana si ya?,0
Berarti perpajakan gausah dibayarin ya? Kan hari jumat kerja di rumah lu.,1
"krn efek BBM?, ntr dirmh mlh kabur pake mobil pake mtr jg 😄",1
Kenapa ga hari rabu aja sih? Bukannya menghemat energi buat kerja di rumah aja malah jdinya bakalan dipake buat liburan ke luar kota nih 🤨,1
DAMN! selalu diuntungkan 😂,0
"Ngelayanin rakyat aja di persulit, di tambah libur sehari gak kelar kelar ngurus surat surat",1
"Akal akalann aja taeeee🤣dari jumat ke sabtu ke minggu, enak tuh 3 hari🤣nanti tinggal izin aja di hari kamis atau senin bisa 4 hri tuh libur🤣🤣🤣",0
"Apa kabar yg swasta?? Enak bener ASN, mana byk gabut nya…eh jumat di liburin….wowwwwwwwwwwww👎🏿",0
Kerja cuma 4 hari . Digaji dari pajak rakyat . Kite kerja ampe keringet kepantat2 die pada kerja seminggu full aja msh banyak bengong nya dibikin wfh hari jumat . Gapaham lagi sm negara tercintak !,0
Asik long weekend 🤣🤣🤣,1
Makin sampah aja negara,0
70% liburan 30% kerja. tau2 LN,1
Harusnya jam kerjanya ditambah 2 jam perhari🤪 sebelah sono makin sibuk liburan atuh longweekend dari jumat mah🤣,0
Makin gajelasss,1
Malah libur mreka..enak long weekend terus....kita yg swasta kerja teruuuusss.... biar gede potongan Pph 21 nya utk bayar ASN,0
GURU GIMANA WOI,1
Makin ngeselin ya .,1
Enakan bisa long weekend..🔥🔥👏👏,0
Long weekend stiap Minggu,2
"Libur panjang akhirnya malah jalan2 ,konsumsi BBM lebih banyakk...kocakkkk nyekik rakyatkya",1
Senin-kamis tambahiin tuh jam kerjanyaa🙏,2
"Kalo pake proporsi, dimana letak penghematannya, kalo masih ada sebagian yg wfo ya berarti AC, lift, lampu, dll tetap nyala. Wfh ya harus total.",2
"Kinerja Nol, Holiday Full",0
Enak iyaa libur 3 hari 😂😂,0
Edaaaaaan 😂😂😂😂,2
Stresssss,2
"Asiik jadi long weekend, knp ga di tengah tengah hari ajh ya🤣🤣🤣",1
"Gaji pada gede , tapi libur banyak banget hiiikkssss",0
"dikira semua ASN kerjaannya santai, ge jadi dokter di puskesmas rawat inap daerah terpencil, jangankan wfh, tidur aja susah, pulang kerja pun nasih balas konsulan sampe besok paginya lg🥴",0
terserah negara aja dah... ada negara gak ada negara sama aja rakyat ngurus dirinya sendiri..,0
"Moga berkah dah lu pda Asn ya gajihnya, ksian yg jdi rakyat",1
"Knp gk rebo aja , biar gk longweek end bgt 😂",0
"Kerja Senin sampe kamis,Jumat Sabtu Minggu gajian",2
Sengaja banget hahahaha mental pemalas dikasih ati,0
Udah kerja nya nyantai di warung kopi dan kantin di kasih libur lagi Jumat. Senin-Kamis absen pagi keluar sore pulang absen pulang. 😄😄🤭🤭,0
Kalo guru gimana? Libur juga muridnya apa gimana?,1
ga ngaruh.... kerja juga cuma ga jelas... abisin anggaran duit rakyat,0
"Wkwkwkwk wfh nya dirumah rumah warga dong biar sekalian buka layanan satu pintu, jadi lebih efisien untuk masyarakat ngurus2 izin",0
Anjay long weekend ga tuh😂,0
enaknyo makasi pemerintah ah makin cinta saya ❤️,1
Longgg weekend,2
Yakin bakal pada kerja drmh?,1
non ASN tuh malah ngabisin BBM banyak loh… apaka tidak ingin diberlakukan samaaaa 😢,0
besok bensin jd naik ga btw ? udh pd panic buying aja nih ngantri dimana mana 😢,1
"Mau liburan jg mikir2,, gaji untg2 sampe buat sebulan😂.. ASN jelata mah bnyk, ga semua ASN mevvah di mata netizen",0
bikin kebijakan aja mesti diajarin netizen dulu.. astagfirullah 😂,0
lah longweekend. bisa pulkam dah wkwkwkkw,0
"Okee jumat wfh, tp minggunya wfo heheu",1
Asn lagi asn lagi,0
Pak saya ga ASN TP WFH setiap Jumat ✌🏻🤪,1
hdehhhhhh swasta jg dong,2
Tau tau di bali 😂,0
Atur aja sebrengsek mungkin 🤝,0
Bentuk playanan ke masyarakat gimana kalo wfh?,1
Emg bisa kerjaan ASN dibawa kerumah ? bukannya banyak yg gabisa hybrid ? Secara sistem ASN dimari kebanyakan jadul,0
Makin susah pelayanan publik 😢,0
Enak bener kerja leye2 gaji gak di potong pajak..💩💩,0
Kalo SDM nya punya etika dan atitude gk kuatir siy tapiiiiii...... (isi sendiri) 🤔🤔🤔,0
Selamat long weekend👏🔥😂,1
Netijennn... Silahkan hujat ASN netijennn...,0
Tidak berlaku Swasta bro🤟🏻,2
"Long weekend ini. Udh g ada kerjanya,",1
Bahasa kasar nya: diLiburkan setiap Jumat Sabtu dan Minggu …,1
"Tambah ladas mereka liburan, bukan hrmat BBM tp malahan tambah banyak pemakaian BBM nyo, yg ASN palrmbang biso liburan ke Lampung, pagaralam, dsb trs tiap minggu😂😂😂😂",1
"Udah ini mah, bukannya efisiensi malah longweekend liburan tuh semuaaa🤣",2
Swasta si paling kerja,1
Yang ada malah boros bbm krn pada kluar kota 😂 kocak,0
"Jam kerja ajaa masi keluyuran, eh jumat liburrr asik bgt yaa😆😆",1
Bisa2 Work From Puncak,0
yah kajiannya mendukung long weekend malahan 😂,1
Yah makin byk lg dong yg korupsi klo begini,0
"kalau niatnya efisiensi itu pilih hari yg netral, misalnya selasa atau rabu. Kalau jumat malah jd kesempatan buat long weekend dgn liburan ke luar kota dll, yg ada penggunaan bbm makin ga terkontrol",1
"Sementara guru di daerah tetap masuk sampai hari sabtu, belum lagi yang dapat sekolahnya puluhan kilo, harus menempuh waktu 1-2 jam dan bensin yang tidak sedikit.",0
"Semangat yahh ASN Guru, Puskesmas dan Rumah Sakit ….. Yang kadang kakendernya hitam semua. Cemungutttttt",0
Anjirrr ga wfh aja kerja cuma sampe jam 1 siang. Gimana wfh,0
"Memangnya, berapa banyak sih jumlah mereka di jalan raya dibandingkan pegawai swasta kalau konteksnya irit konsumsi energi?",0
"Salah besar ini, salah.... Harusnya WFH itu di tengah weekday, hari Rabu lah biar gak ada yg ngacir liburan atau pulkam atau apalah.... Gak long weekend aja pada ngumpul di warkop nyambi jadi makelar 🤣🤣🤣",0
